0	2210	1232
1	1044	2643
2	2403	1836
3	2151	2207
4	1211	2592
5	2119	2377
6	1522	2730
7	519	2259
8	2532	3018
9	938	3611
10	2035	1446
11	1863	1409
12	1669	2990
13	3515	1826
14	1041	2344
15	1761	2303
16	2540	1774
17	816	3573
18	3137	1905
19	2331	1786
20	2001	2160
21	3455	629
22	2626	1590
23	3309	1222
24	2878	1362
25	2306	1951
26	2569	2672
27	1803	1879
28	2463	1940
29	2807	1833
30	2819	1560
31	2962	903
32	3282	1051
33	1856	1139
34	3259	1698
35	3861	1781
36	3395	2092
37	2087	1565
38	2199	1846
39	3037	3295
40	2392	2633
41	1806	3156
42	1753	2179
43	3418	1589
44	4513	1243
45	3717	1731
46	3189	2025
47	1979	3601
48	2286	2426
49	3619	1282
50	1490	2376
51	2062	2170
52	2968	2322
53	3155	1389
54	1588	2376
55	1214	2953
56	1937	2417
57	2300	2134
58	2670	2125
59	2905	2083
60	3725	1079
61	3849	611
62	3845	356
63	2386	1984
64	892	2664
65	775	3148
66	822	2365
67	735	2834
68	2108	2589
69	2582	2081
70	1532	3383
71	1371	2591
72	1577	2230
73	391	3301
74	1360	3489
75	1554	2572
76	1387	2714
77	3483	1531
78	4451	743
79	2161	1905
80	2827	2341
81	3619	1318
82	2298	1761
83	3196	1637
84	2036	2268
85	2698	1721
86	3303	2095
87	2093	1028
88	2887	1322
89	3472	1626
90	3067	730
91	3569	955
92	3435	1374
93	3712	1520
94	2291	2991
95	2439	1642
96	3519	1211
97	3173	1969
98	2725	1200
99	3673	846
100	3343	1702
101	3039	1637
102	413	3217
103	341	3680
104	2351	2910
105	1245	2312
106	829	3417
107	2402	1601
108	1044	2500
109	1506	3059
110	1589	2581
111	1533	2560
112	2118	2808
113	3606	1533
114	2642	2126
115	3765	993
116	1873	2167
117	1911	1957
118	1932	2410
119	3436	253
120	2690	944
121	376	3234
122	1929	2475
123	504	4335
124	2612	2152
125	2789	2427
126	2812	1065
127	4151	1141
128	4325	1212
129	2144	3108
130	765	3608
131	2342	2051
132	1107	4170
133	1384	2667
134	1370	3130
135	1830	2213
136	3446	1230
137	3142	1498
138	2908	1188
139	4063	1121
140	3940	1168
141	3876	657
142	2951	1169
143	3280	1627
144	3542	1018
145	3149	2176
146	2569	1430
147	2809	2043
148	4373	1697
149	3795	1154
150	3393	2028
151	3449	915
152	3932	1510
153	3654	802
154	3814	1517
155	3174	1510
156	3074	1219
157	3079	794
158	4084	1555
159	4033	1674
160	3566	1831
161	4376	927
162	2747	970
163	3129	989
164	497	2730
165	2488	2419
166	876	3911
167	608	2862
168	1248	2761
